Date_collected,Month,Year,Motu,Purpose,Collected_by,GPS_name,Longitude,Latitude,vial,N15,C13,N_percent,C_percent,Notes,Duplicate_N15,Duplicate_C13,Duplicate_N,Duplicate_C,Triplicate_N15,Triplicate_C13,Triplicate_N,Triplicate_C
4-Nov-21,Nov,2021,Aie,ATA,"Hannah Epstein, Kal Bistolas (OSU)",1,-149.53615,-17.007784,1 _04/11/21,8.34,-9.23,0.38,26.18,,,,,,,,,
4-Nov-21,Nov,2021,Aie,ATA,"Hannah Epstein, Kal Bistolas (OSU)",2,-149.53531,-17.007676,2 _04/11/21,7.68,-8.87,0.34,27.35,,,,,,,,,
4-Nov-21,Nov,2021,Aie,ATA,"Hannah Epstein, Kal Bistolas (OSU)",3,-149.53628,-17.008439,3 _04/11/21,11.89,-7.01,0.49,27.39,,,,,,,,,
4-Nov-21,Nov,2021,Aie,ATA,"Hannah Epstein, Kal Bistolas (OSU)",4,-149.53595,-17.008785,4 _04/11/21,10.67,-6.51,0.52,26.36,,,,,,,,,
4-Nov-21,Nov,2021,Aie,ATA,"Hannah Epstein, Kal Bistolas (OSU)",5,-149.53555,-17.009067,5 _04/11/21,10.24,-6.84,0.49,26.04,,,,,,,,,
4-Nov-21,Nov,2021,Aie,ATA,"Hannah Epstein, Kal Bistolas (OSU)",6,-149.53516,-17.009275,6 _04/11/21,8.61,-9.02,0.42,26.69,,,,,,,,,
4-Nov-21,Nov,2021,Aie,ATA,"Hannah Epstein, Kal Bistolas (OSU)",7,-149.53466,-17.009355,7 _04/11/21,6.92,-9.07,0.39,28.69,,,,,,,,,
4-Nov-21,Nov,2021,Aie,ATA,"Hannah Epstein, Kal Bistolas (OSU)",8,-149.53421,-17.00927,8 _04/11/21,6.96,-9.41,0.35,27.41,,,,,,,,,
4-Nov-21,Nov,2021,Aie,ATA,"Hannah Epstein, Kal Bistolas (OSU)",9,-149.53411,-17.008865,9 _04/11/21,6.67,-9.26,0.41,28.78,,,,,,,,,
6-Nov-21,Nov,2021,Rimatuu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",10,-149.55547,-17.032409,10 _06/11/21,10.24,-8.85,0.67,29.18,,,,,,,,,
6-Nov-21,Nov,2021,Rimatuu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",11,-149.55524,-17.032024,11 _06/11/21,11.27,-7.29,0.61,29.3,,,,,,,,,
6-Nov-21,Nov,2021,Rimatuu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",12,-149.55504,-17.031547,12 _06/11/21,12.7,-7.5,0.67,27.49,,,,,,,,,
6-Nov-21,Nov,2021,Rimatuu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",13,-149.55481,-17.031156,13 _06/11/21,13.85,-8.26,0.83,27.38,,,,,,,,,
6-Nov-21,Nov,2021,Rimatuu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",14,-149.55454,-17.030778,14 _06/11/21,13.76,-7.76,0.78,27.4,,,,,,,,,
6-Nov-21,Nov,2021,Rimatuu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",15,-149.55427,-17.030427,15 _06/11/21,13.18,-7.72,0.76,28.41,,,,,,,,,
6-Nov-21,Nov,2021,Rimatuu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",16,-149.554,-17.030026,16 _06/11/21,14.81,-7.51,0.74,28.45,,,,,,,,,
6-Nov-21,Nov,2021,Rimatuu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",17,-149.55371,-17.029681,17 _06/11/21,14.18,-8.15,0.82,27.18,,,,,,,,,
6-Nov-21,Nov,2021,Rimatuu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",18,-149.55331,-17.029312,18 _06/11/21,14.84,-6.38,0.77,27.8,,,,,,,,,
6-Nov-21,Nov,2021,Rimatuu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",19,-149.55298,-17.02898,19 _06/11/21,14.96,-8.2,0.82,26.71,,,,,,,,,
6-Nov-21,Nov,2021,Rimatuu,ATA,"Hannah Epstein, Kal Bistolas (OSU)",20,-149.55263,-17.028699,20 _06/11/21,14.79,-7.27,0.73,26.37,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",21,-149.54454,-17.044467,21 _08/11/21,12.94,-7.85,0.58,26.34,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",22,-149.54485,-17.044063,22 _08/11/21,13.54,-7.36,0.53,25.72,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",23,-149.54498,-17.043606,23 _08/11/21,11.7,-8.36,0.53,25.76,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",24,-149.54521,-17.043198,24 _08/11/21,16.96,-6.4,0.67,25.56,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",25,-149.54533,-17.042745,25 _08/11/21,13.35,-8.13,0.56,26.52,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",26,-149.54579,-17.042577,26 _08/11/21,13.42,-7.58,0.72,25.85,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",27,-149.54608,-17.042946,27 _08/11/21,11.52,-7.02,0.64,25.26,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",28,-149.54628,-17.043375,28 _08/11/21,11.85,-7.16,0.57,26.37,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",29,-149.54658,-17.043783,29 _08/11/21,10.9,-7.42,0.53,25.56,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",30,-149.54696,-17.043988,30 _08/11/21,10.62,-7.12,0.51,24.52,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",31,-149.54726,-17.044271,31 _08/11/21,13.93,-7.52,0.72,25.86,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",32,-149.54774,-17.044811,32 _08/11/21,11.47,-7.62,0.64,24.53,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",33,-149.54775,-17.045259,33 _08/11/21,11.06,-7.07,0.56,25.81,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",34,-149.54777,-17.045875,34 _08/11/21,9.46,-7.48,0.58,25.55,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",35,-149.54768,-17.046318,35 _08/11/21,9.26,-8.41,0.5,25.59,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",36,-149.54761,-17.04688,36 _08/11/21,10.7,-7.55,0.53,25.31,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",37,-149.54775,-17.047306,37 _08/11/21,9.14,-7.9,0.48,26.6,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",38,-149.54788,-17.047732,38 _08/11/21,9.14,-7.4,0.54,26.43,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",39,-149.54793,-17.04819,39 _08/11/21,8.67,-8.99,0.66,25.35,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",40,-149.54795,-17.048676,40 _08/11/21,7.61,-8.31,0.6,26.43,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",41,-149.54769,-17.049062,41 _08/11/21,7.5,-7.94,0.62,26.8,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",42,-149.54733,-17.049464,42 _08/11/21,5.91,-9.79,0.47,26.3,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",43,-149.54687,-17.049708,43 _08/11/21,6.45,-8.12,0.51,26.73,,,,,,,,,
8-Nov-21,Nov,2021,Reiono,ATA,"Hannah Epstein, Kal Bistolas (OSU)",44,-149.5459,-17.049809,44 _08/11/21,5,-8.56,0.39,29.37,,,,,,,,,
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",45,-149.5565,-17.033371,45 Rimatuu 031221,10.64,-9.6,0.71,27.25,,,,,,,,,
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",46,-149.55696,-17.033522,46 Rimatuu 031221,9.93,-9.36,0.6,26.71,,,,,,,,,
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",47,-149.5574,-17.033676,47 Rimatuu 031221,10.2,-9.65,0.68,26.76,,,,,,,,,
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",48,-149.55785,-17.03379,48 Rimatuu 031221,9.46,-10.22,0.61,27.7,,,,,,,,,
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",49,-149.55828,-17.033989,49 Rimatuu 031221,8.42,-9.22,0.58,26.72,,,,,,,,,
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",50,-149.55877,-17.034014,50 Rimatuu 031221,7.66,-8.81,0.64,28.13,,,,,,,,,
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",51,-149.55924,-17.034066,51 Rimatuu 031221,7.69,-9.19,0.54,27.25,,,,,,,,,
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",52,-149.55969,-17.033961,52 Rimatuu 031221,7.49,-8.11,0.75,27.1,,,,,,,,,
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",53,-149.56011,-17.033788,53 Rimatuu 031221,6.45,-10.08,0.47,29.18,,,,,,,,,
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",54,-149.5604,-17.033397,54 Rimatuu 031221,6.17,-8.89,0.55,27.91,,,,,,,,,
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",55,-149.56063,-17.032989,55 Rimatuu 031221,6.5,-9.23,0.7,27.42,,,,,,,,,
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",56,-149.56075,-17.032541,56 Rimatuu 031221,6.07,-9.11,0.69,27.78,,,,,,,,,
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",57,-149.56072,-17.032143,57 Rimatuu 031221,6.59,-10.29,0.7,25.73,,,,,,,,,
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",58,-149.5607,-17.0317,58 Rimatuu 031221,5.98,-9.08,0.62,27.08,,,,,,,,,
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",59,-149.56061,-17.031231,59 Rimatuu 031221,4.93,-8.03,0.43,30.59,,,,,,,,,
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",60,-149.56069,-17.030752,60 Rimatuu 031221,4.96,-6.68,0.6,28.84,,,,,,,,,
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",61,-149.56068,-17.030298,61 Rimatuu 031221,4.43,-6.69,0.54,28.92,,,,,,,,,
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",62,-149.56062,-17.029852,62 Rimatuu 031221,4.05,-6.52,0.68,27.88,,4.07,-6.44,0.65,27.7,4.03,-6.42,0.69,28.1
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",63,-149.56064,-17.029373,63 Rimatuu 031221,3.53,-6.91,0.55,27.41,,3.99,-7.08,0.57,27.72,3.96,-7.24,0.56,27.72
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",64,-149.55377,-17.025573,64 Rimatuu 031221,15.38,-6.65,0.87,28.01,,,,,,,,,
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",65,-149.55709,-17.023693,65 Rimatuu 031221,12.32,-7.56,1.24,31.03,,,,,,,,,
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",66,-149.55996,-17.020932,66 Rimatuu 031221,14.89,-8.68,0.86,26.85,,,,,,,,,
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",67,-149.56003,-17.020515,67 Rimatuu 031221,14.79,-8.05,0.99,28.28,,,,,,,,,
3-Dec-21,Nov,2021,Rimatuu,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",68,-149.56016,-17.019966,68 Rimatuu 031221,13.6,-8.64,0.76,28.46,,,,,,,,,
26-Nov-21,Nov,2021,Honuea,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",69,-149.58526,-17.011573,69 11_26,3.98,-9.26,0.35,31.27,,,,,,,,,
26-Nov-21,Nov,2021,Honuea,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",70,-149.58394,-17.012083,,,,,,"Missing sample - on original collection list, but never got a vial with it. ",,,,,,,,
26-Nov-21,Nov,2021,Honuea,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",71,-149.58517,-17.006718,71 11_26,2.58,-9.85,0.32,29.34,,,,,,,,,
26-Nov-21,Nov,2021,Honuea,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",72,-149.58565,-17.006947,72 11_26,3.63,-8.17,0.47,29.46,,,,,,,,,
26-Nov-21,Nov,2021,Honuea,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",73,-149.58762,-17.006517,73 11_26,3.26,-8.51,0.38,30.81,,,,,,,,,
26-Nov-21,Nov,2021,Honuea,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",74,-149.58915,-17.006227,74 11_26,3.22,-8.11,0.41,28.83,,,,,,,,,
26-Nov-21,Nov,2021,Honuea,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",75,-149.58843,-17.00815,75 11_26,3.2,-10.22,0.44,29.94,,,,,,,,,
26-Nov-21,Nov,2021,Honuea,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",76,-149.58804,-17.008473,76 11_26,3.3,-10.57,0.45,30.47,,,,,,,,,
26-Nov-21,Nov,2021,Honuea,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",77,-149.5879,-17.008941,77 11_26,3.3,-8.9,0.39,29.85,,,,,,,,,
26-Nov-21,Nov,2021,Honuea,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",78,-149.58783,-17.009636,78 11_26,3.24,-7.44,0.45,30.29,,,,,,,,,
26-Nov-21,Nov,2021,Honuea,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",79,-149.58765,-17.010072,79 11_26,3.59,-7.25,0.5,28.96,,,,,,,,,
10-Nov-21,Nov,2021,Reiono,ATA,Casey Benkwitt (Lancaster),84,-149.54528,-17.049596,84 _10/11/21,4.98,-9.86,0.38,27.57,,,,,,,,,
10-Nov-21,Nov,2021,Reiono,ATA,Casey Benkwitt (Lancaster),85,-149.54489,-17.049325,85 _10/11/21,6.41,-9.15,0.44,26.41,,,,,,,,,
10-Nov-21,Nov,2021,Reiono,ATA,Casey Benkwitt (Lancaster),86,-149.54454,-17.049075,86 _10/11/21,9.13,-7.89,0.48,26.69,,,,,,,,,
10-Nov-21,Nov,2021,Reiono,ATA,Casey Benkwitt (Lancaster),87,-149.54415,-17.048755,87 _10/11/21,8.8,-9.13,0.67,26.61,,8.94,-9.2,0.66,26.65,8.76,-9.15,0.68,26.43
10-Nov-21,Nov,2021,Reiono,ATA,Casey Benkwitt (Lancaster),88,-149.54394,-17.048372,88 _10/11/21,10.36,-8.34,0.74,25.87,,,,,,,,,
10-Nov-21,Nov,2021,Reiono,ATA,Casey Benkwitt (Lancaster),89,-149.54392,-17.047922,89 _10/11/21,7.47,-9.19,0.33,26.44,,,,,,,,,
10-Nov-21,Nov,2021,Reiono,ATA,Casey Benkwitt (Lancaster),90,-149.54402,-17.047404,90 _10/11/21,11.99,-8.24,0.59,25.12,,,,,,,,,
10-Nov-21,Nov,2021,Reiono,ATA,Casey Benkwitt (Lancaster),91,-149.544,-17.046964,91 _10/11/21,10.84,-8.68,0.57,26.85,,,,,,,,,
10-Nov-21,Nov,2021,Reiono,ATA,Casey Benkwitt (Lancaster),92,-149.54404,-17.046512,92 _10/11/21,9.38,-8.1,0.46,25.89,,,,,,,,,
10-Nov-21,Nov,2021,Reiono,ATA,Casey Benkwitt (Lancaster),93,-149.544,-17.046063,93 _10/11/21,9.21,-7.83,0.45,25.91,,,,,,,,,
10-Nov-21,Nov,2021,Reiono,ATA,Casey Benkwitt (Lancaster),94,-149.54405,-17.045639,94 _10/11/21,8.91,-7.87,0.47,25.61,,,,,,,,,
10-Nov-21,Nov,2021,Reiono,ATA,Casey Benkwitt (Lancaster),95,-149.54427,-17.045225,95 _10/11/21,8.48,-8.38,0.39,25.79,,,,,,,,,
10-Nov-21,Nov,2021,Reiono,ATA,Casey Benkwitt (Lancaster),97,-149.54446,-17.044798,97 _10/11/21,13.49,-7.53,0.62,26.21,,,,,,,,,
10-Nov-21,Nov,2021,Reiono,ATA,Casey Benkwitt (Lancaster),98,-149.54463,-17.044363,98 _10/11/21,12.67,-7.79,0.51,26.55,,,,,,,,,
10-Nov-21,Nov,2021,Reiono,ATA,Casey Benkwitt (Lancaster),99,-149.54492,-17.044004,99 _10/11/21,12.83,-8.16,0.51,25.95,,,,,,,,,
10-Nov-21,Nov,2021,Reiono,ATA,Casey Benkwitt (Lancaster),100,-149.54501,-17.043587,100 _10/11/21,12.71,-7.92,0.7,25.34,,,,,,,,,
10-Nov-21,Nov,2021,Reiono,ATA,Casey Benkwitt (Lancaster),101,-149.54527,-17.043137,101 _10/11/21,15.57,-7.43,0.65,26.15,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",112,-149.56072,-17.027992,112 _10/11/21,3.78,-6.95,0.42,28.01,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",113,-149.56071,-17.027506,113 _10/11/21,3.73,-6.65,0.47,26.66,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",114,-149.56051,-17.027031,114 _10/11/21,4.34,-7.13,0.52,26.93,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",115,-149.5603,-17.026326,115 _10/11/21,5.3,-7.65,0.52,27.61,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,*no algae found nov 2021,116,-149.5603,-17.025889,,,,,,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",117,-149.56028,-17.0254,117 _10/11/21,4.43,-6.52,0.36,28.33,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,*no algae found nov 2021,118,-149.56033,-17.024917,,,,,,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",119,-149.56042,-17.024625,119 _10/11/21,4.43,-8.22,0.31,28.09,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",120,-149.56064,-17.024186,120 _10/11/21,4.64,-7.24,0.46,27.76,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",121,-149.56091,-17.023608,121 _10/11/21,4.66,-8.11,0.36,28.36,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",122,-149.56116,-17.023181,122 _10/11/21,3.72,-8.93,0.27,31.37,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",123,-149.56142,-17.022561,123 _10/11/21,2.89,-8.7,0.26,31.32,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",124,-149.56161,-17.022191,124 _10/11/21,3.05,-8.62,0.36,30.86,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",125,-149.56187,-17.021731,125 _10/11/21,3.95,-7.57,0.4,27.9,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",126,-149.56208,-17.021322,126 _10/11/21,4.52,-7.16,0.49,29.65,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",127,-149.56236,-17.020908,127 _10/11/21,3.32,-7.95,0.41,27.31,,,,,,,,,
10-Nov-21,Nov,2021,Rimatuu,ATA,"Casey Benkwitt, Rosalie Wright (Lancaster, Oxford)",128,-149.56249,-17.02032,128 _10/11/21,4.82,-7.03,0.52,27.53,,,,,,,,,
29-Nov-21,Nov,2021,Auroa,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",80,-149.56211,-16.989058,80 Auroa 291121,11.9,-7.97,0.59,29.77,,,,,,,,,
29-Nov-21,Nov,2021,Auroa,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",81,-149.56213,-16.988608,81 Auroa 291121,14.58,-8.48,0.68,27.8,,,,,,,,,
29-Nov-21,Nov,2021,Auroa,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",82,-149.56212,-16.988159,82 Auroa 291121,16.64,-10.2,0.88,28.16,,,,,,,,,
29-Nov-21,Nov,2021,Auroa,ATA,"Jayna DeVore, Carlee Heger (Tetiaroa Society)",83,-149.5621,-16.987677,83 Auroa 291121,15.4,-8.64,0.9,31.35,,,,,,,,,
10-Nov-21,Nov,2021,Auroa,ATA,"Hannah Epstein, Kal Bistolas (OSU)",84,-149.56211,-16.98722,,,,,,SAME GPS AS POINT 129 - so use those data,,,,,,,,
10-Nov-21,Nov,2021,Auroa,ATA,"Hannah Epstein, Kal Bistolas (OSU)",85,-149.56211,-16.987213,,,,,,SAME GPS AS POINT 129 - so use those data,,,,,,,,
