Motu,Transect_name,Transect,Longitude_start,Latitude_start,Longitude_end,Latitude_end,Exposure,Rat_treatment,Acropora_arborescent,Acropora_corymbose,Hard_Coral_encrusting,Hard_Coral_massive,Montipora_encrusting,Pavona_cactus,Pavona_encrusting,Porites_massive,Porites_rus,Porites_SubMassive,Corallimorpharia,Sea_cucumber,Tridacna_Giant_clam,Sand,Dead_coral,Pavement,Fish,Rubble,Sand_Rubble,Transect_Tape,CCA,Turf_algae,Turf_rubble,Macroalgae
Aie,Aie_north_benthic1,1,-149.53612,-17.007413,-149.53585,-17.007319,Exposed,No_rats,0.625,0.3125,0,0,0,0,0,0.625,0,5.9375,0,0,0.3125,44.6875,0,4.0625,0,17.5,16.25,0.9375,0,7.1875,0.3125,1.25
Aie,Aie_north_benthic2,2,-149.53564,-17.007211,-149.53582,-17.007131,Exposed,No_rats,0,0,0,0,0.297619048,0,0,2.678571429,0,10.41666667,0,0,0.892857143,25.89285714,0,5.357142857,0,29.46428571,12.79761905,1.19047619,0.297619048,10.11904762,0,0.595238095
Aie,Aie_north_benthic3,3,-149.53595,-17.006915,-149.53572,-17.007006,Exposed,No_rats,0,0,0,0,0,0,0,4.375,0,5.9375,0,0,0,40,0,14.375,0,8.125,12.8125,2.1875,0,10.625,0.9375,0.625
Aie,Aie_north_benthic4,4,-149.53571,-17.006867,-149.53589,-17.006774,Exposed,No_rats,0,0,0,0,1.420454545,0,0,1.136363636,0,5.681818182,0,0,0,27.84090909,0,23.01136364,0,12.21590909,7.102272727,1.136363636,0,19.60227273,0.284090909,0.568181818
Aie,Aie_south_benthic1,1,-149.53486,-17.009826,-149.53472,-17.010027,Protected,No_rats,0,0,0,0,0,0,0,2.380952381,0,2.678571429,0,0,0,31.8452381,0,11.60714286,0,19.64285714,16.36904762,2.678571429,0.297619048,8.928571429,0.892857143,2.678571429
Aie,Aie_south_benthic2,2,-149.53476,-17.009801,-149.53493,-17.009638,Protected,No_rats,0,0,0,0,0,0,0,3.869047619,0,8.035714286,0,0.297619048,0,26.48809524,0,11.60714286,0,25.89285714,11.9047619,2.083333333,0,7.44047619,0.892857143,1.488095238
Aie,Aie_south_benthic3,3,-149.53501,-17.010059,-149.53488,-17.010303,Protected,No_rats,0.3125,0.9375,0,0,0.3125,0,0,2.8125,0,3.75,0,0,0,45.3125,0,6.5625,0.3125,5.625,16.875,0.625,0,14.375,0.3125,1.875
Aie,Aie_south_benthic4,4,-149.53491,-17.01039,-149.5348,-17.010566,Protected,No_rats,0,1.136363636,0,0,0.284090909,0,0,3.693181818,0,6.25,0,0,0,45.73863636,0,7.954545455,0,8.238636364,9.375,1.136363636,0,12.5,2.556818182,1.136363636
Reiono,Reiono_site1_benthic1,1,-149.54811,-17.046685,-149.54807,-17.046953,Protected,rats_eradicated,0,0,0,0,0.27173913,0,0,0.543478261,0,11.14130435,0,0,0.27173913,10.32608696,0.543478261,25,0,32.33695652,3.260869565,1.630434783,0.27173913,8.423913043,1.086956522,4.891304348
Reiono,Reiono_site1_benthic2,2,-149.54798,-17.046324,-149.54798,-17.046637,Protected,rats_eradicated,0,0,0,0,0.520833333,0,0,5.208333333,0,3.90625,0,0,0,17.1875,0,26.5625,0,28.64583333,5.46875,2.083333333,0.520833333,4.166666667,1.302083333,4.427083333
Reiono,Reiono_site1_benthic3,3,-149.54795,-17.046778,-149.54799,-17.047018,Protected,rats_eradicated,0,0,0,0,0,0,0,2.960526316,0,5.263157895,0,0,0.328947368,28.61842105,0,22.36842105,0,23.35526316,3.947368421,0.328947368,0,8.881578947,0.657894737,3.289473684
Reiono,Reiono_site1_benthic4,4,-149.54362,-17.04477,-149.54351,-17.045033,Protected,rats_eradicated,0,0,0,0,0.27173913,0,0,2.173913043,0,3.260869565,0,0,0.27173913,17.66304348,0,20.92391304,0,20.92391304,2.445652174,1.086956522,0.27173913,21.4673913,0.27173913,8.967391304
Reiono,Reiono_site2_benthic1,1,-149.54345,-17.045071,-149.54356,-17.045291,Exposed,rats_eradicated,0,0,0,0,0,1.302083333,0,2.083333333,0,2.083333333,0,0.260416667,0,27.86458333,0,16.92708333,0,14.58333333,17.1875,1.822916667,0,13.02083333,0.520833333,2.34375
Reiono,Reiono_site2_benthic2,2,-149.54322,-17.045106,-149.54336,-17.045326,Exposed,rats_eradicated,0,0,0,0,0,0.815217391,0,4.076086957,0,1.086956522,1.086956522,0,0,28.80434783,0,18.75,0,8.695652174,11.41304348,1.902173913,0,20.38043478,2.173913043,0.815217391
Reiono,Reiono_site2_benthic3,3,-149.5438,-17.045546,-149.54394,-17.045338,Exposed,rats_eradicated,0,0,0,0,0,0,0,1.785714286,0,0.595238095,0,0,0,27.67857143,0,17.26190476,0,5.952380952,30.95238095,1.19047619,0,13.0952381,0,1.488095238
Reiono,Reiono_site2_benthic4,4,-149.54385,-17.045316,-149.54392,-17.045107,Exposed,rats_eradicated,0,0,0,0,0,0,0,0,0,1.785714286,0,0,0,35.41666667,0.595238095,29.16666667,0,4.166666667,7.142857143,0.892857143,0,14.28571429,2.380952381,4.166666667
Rimatuu,Rimatuu_site1_benthic1,1,-149.5612,-17.028839,-149.56125,-17.02911,Protected,rats,0,0,0,0,0,0.347222222,0,3.472222222,0,2.083333333,0,0,0,31.94444444,0,33.33333333,0,6.944444444,3.472222222,1.388888889,0.347222222,7.638888889,2.430555556,6.597222222
Rimatuu,Rimatuu_site1_benthic2,2,-149.56123,-17.029226,-149.56138,-17.029453,Protected,rats,0,0,0,0,0,0,0,7.638888889,0,3.472222222,0,0,0,5.902777778,0,17.70833333,0,30.55555556,18.40277778,0.694444444,0.347222222,5.208333333,3.472222222,6.597222222
Rimatuu,Rimatuu_site1_benthic3,3,-149.56097,-17.028923,-149.56102,-17.029217,Protected,rats,0,0,0,0,0,1.315789474,0,3.947368421,3.947368421,4.276315789,0,0.328947368,0,13.81578947,0,21.38157895,0,17.43421053,19.40789474,0.657894737,0,8.552631579,2.302631579,2.631578947
Rimatuu,Rimatuu_site1_benthic4,4,-149.56095,-17.028754,-149.56093,-17.028563,Protected,rats,0,0,0,0.347222222,0.347222222,0,0,3.819444444,3.819444444,1.388888889,0,0,0,26.38888889,0,7.291666667,0,21.52777778,12.84722222,0.694444444,0,13.54166667,3.819444444,4.166666667
Rimatuu,Rimatuu_site2_benthic1,1,-149.55557,-17.033156,-149.55566,-17.0334,Exposed,rats,0,0,0,0,0.431034483,1.724137931,0,11.20689655,0,14.43965517,0,0,0.431034483,12.28448276,0,9.051724138,0,21.76724138,10.56034483,1.293103448,0,7.75862069,6.465517241,2.586206897
Rimatuu,Rimatuu_site2_benthic2,2,-149.55575,-17.033479,-149.55585,-17.033736,Exposed,rats,0,0,0.223214286,0,0.223214286,0.669642857,0.223214286,1.339285714,0,7.366071429,0,0,0,19.64285714,0.446428571,9.598214286,0,36.16071429,6.473214286,1.339285714,0.446428571,10.04464286,0,5.803571429
Rimatuu,Rimatuu_site2_benthic3,3,-149.5554,-17.033319,-149.55554,-17.033534,Exposed,rats,0,0,0,0,0.328947368,0,0,2.960526316,0,12.5,0,0,0,27.30263158,0,6.907894737,0,22.03947368,19.73684211,1.315789474,0.328947368,4.934210526,1.644736842,0
Rimatuu,Rimatuu_site2_benthic4,4,-149.55564,-17.033559,-149.55584,-17.033769,Exposed,rats,0,0,0,0,1.358695652,0,0,0.815217391,0,4.619565217,0,0,0.27173913,13.04347826,0.27173913,29.34782609,0,28.26086957,6.25,1.902173913,0.27173913,10.05434783,1.086956522,2.445652174